product_id,product_name,category,brand,price_usd,stock_quantity,rating,review_count,color,weight_kg,warranty
P001,TechNova Smart Speaker,Electronics,TechNova,79.99,120,4.5,340,Black,0.8,1 Year
P002,HomeEase Air Fryer,Home Appliances,HomeEase,129.99,60,4.4,210,Silver,4.2,2 Years
P003,FitPulse Yoga Mat,Fitness,FitPulse,25.50,200,4.2,120,Blue,1.1,6 Months
P004,KitchenPro Blender,Kitchen,KitchenPro,89.00,75,4.3,150,Red,2.5,1 Year
P005,ComputeX Wireless Mouse,Computers,ComputeX,19.99,300,4.6,500,Black,0.2,1 Year
P006,TechNova Bluetooth Headphones,Electronics,TechNova,59.99,180,4.4,420,White,0.4,1 Year
P007,HomeEase Vacuum Cleaner,Home Appliances,HomeEase,199.99,40,4.3,130,Blue,6.5,2 Years
P008,FitPulse Dumbbell Set,Fitness,FitPulse,85.00,90,4.5,260,Black,10.0,1 Year
P009,KitchenPro Toaster,Kitchen,KitchenPro,39.99,110,4.1,95,Silver,1.8,1 Year
P010,ComputeX Mechanical Keyboard,Computers,ComputeX,109.99,70,4.7,350,Black,1.2,2 Years
P011,TechNova Smart Watch,Electronics,TechNova,199.99,85,4.6,480,Black,0.3,1 Year
P012,HomeEase Microwave Oven,Home Appliances,HomeEase,249.99,35,4.4,210,White,12.0,2 Years
P013,FitPulse Resistance Bands,Fitness,FitPulse,19.99,150,4.3,180,Red,0.5,6 Months
P014,KitchenPro Coffee Maker,Kitchen,KitchenPro,79.99,90,4.2,140,Black,3.0,1 Year
P015,ComputeX Laptop Stand,Computers,ComputeX,29.99,160,4.5,220,Silver,0.9,1 Year
P016,TechNova Portable Speaker,Electronics,TechNova,49.99,200,4.4,300,Blue,0.6,1 Year
P017,HomeEase Electric Kettle,Home Appliances,HomeEase,34.99,140,4.3,190,White,1.5,1 Year
P018,FitPulse Fitness Tracker,Fitness,FitPulse,59.99,130,4.4,270,Black,0.2,1 Year
P019,KitchenPro Knife Set,Kitchen,KitchenPro,69.99,80,4.6,160,Silver,2.0,2 Years
P020,ComputeX USB-C Hub,Computers,ComputeX,39.99,210,4.5,320,Gray,0.3,1 Year
P021,TechNova LED Monitor,Electronics,TechNova,229.99,55,4.6,240,Black,4.5,2 Years
P022,HomeEase Washing Machine,Home Appliances,HomeEase,499.99,20,4.5,110,White,60.0,3 Years
P023,FitPulse Treadmill,Fitness,FitPulse,699.99,10,4.4,75,Black,80.0,3 Years
P024,KitchenPro Food Processor,Kitchen,KitchenPro,149.99,50,4.3,130,Red,5.0,2 Years
P025,ComputeX External SSD,Computers,ComputeX,119.99,100,4.7,410,Black,0.4,2 Years
P026,TechNova Smart Bulb,Electronics,TechNova,15.99,250,4.2,350,White,0.2,1 Year
P027,HomeEase Ceiling Fan,Home Appliances,HomeEase,89.99,70,4.1,90,White,4.0,2 Years
P028,FitPulse Jump Rope,Fitness,FitPulse,12.99,300,4.3,200,Blue,0.3,6 Months
P029,KitchenPro Induction Cooktop,Kitchen,KitchenPro,99.99,65,4.4,140,Black,2.7,2 Years
P030,ComputeX Gaming Mouse,Computers,ComputeX,49.99,140,4.6,310,Black,0.25,1 Year
P031,TechNova VR Headset,Electronics,TechNova,349.99,25,4.5,160,Black,0.9,2 Years
P032,HomeEase Air Purifier,Home Appliances,HomeEase,179.99,45,4.3,120,White,6.0,2 Years
P033,FitPulse Kettlebell,Fitness,FitPulse,39.99,130,4.4,170,Black,8.0,1 Year
P034,KitchenPro Rice Cooker,Kitchen,KitchenPro,59.99,95,4.2,130,White,3.5,1 Year
P035,ComputeX Laptop Backpack,Computers,ComputeX,49.99,200,4.5,260,Gray,0.8,1 Year
P036,TechNova Action Camera,Electronics,TechNova,159.99,60,4.3,180,Black,0.4,1 Year
P037,HomeEase Heater,Home Appliances,HomeEase,119.99,55,4.2,100,White,4.5,2 Years
P038,FitPulse Pull-up Bar,Fitness,FitPulse,29.99,150,4.3,210,Black,2.2,1 Year
P039,KitchenPro Nonstick Pan,Kitchen,KitchenPro,24.99,180,4.4,320,Black,1.2,1 Year
P040,ComputeX Webcam,Computers,ComputeX,69.99,110,4.5,270,Black,0.4,1 Year
P041,TechNova Tablet,Electronics,TechNova,299.99,50,4.6,300,Silver,0.6,2 Years
P042,HomeEase Dishwasher,Home Appliances,HomeEase,549.99,18,4.4,80,Silver,65.0,3 Years
P043,FitPulse Exercise Bike,Fitness,FitPulse,399.99,15,4.3,70,Black,35.0,2 Years
P044,KitchenPro Pressure Cooker,Kitchen,KitchenPro,44.99,140,4.5,260,Silver,3.0,2 Years
P045,ComputeX Monitor Stand,Computers,ComputeX,34.99,160,4.4,200,Black,1.5,1 Year
P046,TechNova Power Bank,Electronics,TechNova,39.99,210,4.6,420,Black,0.5,1 Year
P047,HomeEase Iron,Home Appliances,HomeEase,29.99,190,4.3,230,Blue,1.1,1 Year
P048,FitPulse Foam Roller,Fitness,FitPulse,22.99,170,4.2,150,Blue,0.9,6 Months
P049,KitchenPro Electric Grill,Kitchen,KitchenPro,89.99,70,4.4,140,Black,3.8,1 Year
P050,ComputeX Portable Monitor,Computers,ComputeX,189.99,40,4.6,210,Black,1.7,2 Years